pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15,pca16,pca17,pca18,pca19,pca20,Close
-5.6280892315417015,0.6615694169356137,-1.633125070945383,-0.7372174204940817,0.5450743868746522,-2.0261388462974144,1.3123957518481097,0.06661565264519044,-0.9307998056069212,-1.2262843774843246,0.4255001779886119,-1.8568920049144018,1.621054343367371,-0.762419635169683,-0.945577673148647,0.006194192360677513,-0.4084623491885761,0.9372430776828425,-0.6776387576956031,-0.10728584691059823,168.5
-5.683029002550691,0.7431528882685196,-1.6795960478474157,-0.4835308198194166,-0.0801720355799299,-0.8615583631148508,-0.7794069561218057,-1.2059558066059999,-1.0446613904390123,0.11170317667159677,2.787257853466267,1.9968761297366868,0.4773326180526814,0.801195608117427,-0.6244603001895158,-0.06168770766166203,-0.4613675447640556,1.0375273925591515,-0.7080944731029896,-0.11435705069138552,168.5
-5.691888464363452,0.6008086716777804,-1.7542805524924852,-0.3606296006209556,-0.6844449766423019,1.2043230507536435,1.7267345600623025,-0.3301547336520384,1.3309217010718024,-0.8418842933139116,0.029766576651179596,0.06776646151376467,-0.05201539284876194,0.6321487637150013,-0.8962448936387332,0.055473215079139784,-0.3956114646894647,1.003584897630323,-0.6335698710132801,-0.12704954904609966,168.5
-5.731192294592951,0.6151774446679176,-1.6645049771819582,-0.47263765105772726,0.41812676142940836,1.3614551792121474,0.5561066977250548,0.48120096056612743,-0.3431363958270308,-1.645775460295448,0.07504249163547519,0.19251046890383547,-0.3852810989279982,0.654286335809761,-0.9186074399475352,0.02491319741707685,-0.40745215829430287,0.9946000115223929,-0.6688745766668936,-0.11207209714428784,168.5
-5.761874895780502,0.6335072041957879,-1.7149029698387737,-0.5396214158396113,-0.7241081448964732,-1.0274298831534194,-1.2645451624598036,-0.40596457625714466,-0.6712919748425633,0.7365689271942126,-0.44208526377619195,-0.2888538632879717,-0.007940153459067591,-0.4133016304797526,-0.711166724982501,-0.04119525873003373,-0.35534388517101817,1.004312136878284,-0.6602610605269912,-0.10435043442149672,168.5
-5.783976281998533,0.655999616354057,-1.7096974291255256,-0.5326314299197704,-1.5676364532759888,0.3282751463143004,-0.46173132420962243,-0.2846748149952522,-0.7484577273443984,0.3086205541872203,0.04282512861556005,1.050166982380523,1.1584191457638633,-0.3192188435399558,-0.6837747849389009,-0.020879108572006325,-0.4052736961107718,1.0221321239893943,-0.6540528681763501,-0.09877296672569133,168.5
-5.811300683834145,0.5543335986820191,-1.7285371131655198,-0.48700683219828284,-0.6924218226729075,1.546339164638527,-0.013085375047673552,0.17907203647277606,-0.3860844848165189,-0.0008771229504018651,-2.9310688059958006,-0.17308917366245086,-0.7521875396208618,-0.020407902276269953,-0.8028585726098108,0.012680589211597268,-0.3315009218961526,0.9975114555462876,-0.6403542701762502,-0.10922654652705723,168.5
-5.8109001387210055,0.6091731274714989,-1.833492327243366,-0.332521450819926,-2.499762363001045,0.18705750276434177,1.8450934190247026,0.839144732241135,1.3766777693254137,1.750301813207197,0.5320640157090646,-0.7718400484399979,0.09398753416899132,-0.26788644201318756,-1.1898824245048731,0.05027405433101088,-0.33417682025273676,1.0386715547267176,-0.5823185288103341,-0.08169935243868034,168.5
-5.866627464726692,0.7031985809158287,-1.7278906288332003,-0.5902388306433377,0.5510472028947544,0.8379016512884607,1.3808298550412255,0.9840679186073775,-1.7746807309136599,0.12623282937192631,0.37305629111015626,2.7692785298833082,-0.11394903278071265,0.32093178350386803,-1.2216196994922708,-0.001978665202039773,-0.4552655863110726,1.0808592899283103,-0.672910786840455,-0.08456354473003051,168.5
-5.88320456800432,0.5932904967009303,-1.6740224885938448,-0.5929920481554899,-0.3909764749122803,-1.155558622189746,-1.6777224041151293,0.1976574450228066,-1.4479994544991024,-0.36523398482271285,0.08950808167327814,-0.9443563524320157,0.5046447205511004,1.6067605570895724,-0.7475211166180243,-0.0921656197601014,-0.3894198588281381,1.0078634177339403,-0.6615513803853386,-0.06948806128588078,168.5
